Administracinė teritorija,Laikotarpis,Reikšmė
Šiaulių m. sav.,2015,103726.0
Šiaulių m. sav.,2016,102143.0
Šiaulių m. sav.,2017,100693.0
Šiaulių m. sav.,2018,100401.0
Šiaulių m. sav.,2019,100707.0
Šiaulių m. sav.,2020,102031.0
Šiaulių m. sav.,2021,100970.0
Kauno m. sav.,2015,299535.0
Kauno m. sav.,2016,295585.0
Kauno m. sav.,2017,290289.0
Kauno m. sav.,2018,287574.0
Kauno m. sav.,2019,287191.0
Kauno m. sav.,2020,292613.0
Kauno m. sav.,2021,292512.0
Alytaus m. sav.,2015,55039.0
Alytaus m. sav.,2016,53731.0
Alytaus m. sav.,2017,52051.0
Alytaus m. sav.,2018,51062.0
Alytaus m. sav.,2019,50084.0
Alytaus m. sav.,2020,49607.0
Alytaus m. sav.,2021,48680.0
Klaipėdos m. sav.,2015,155096.0
Klaipėdos m. sav.,2016,153030.0
Klaipėdos m. sav.,2017,149860.0
Klaipėdos m. sav.,2018,148103.0
Klaipėdos m. sav.,2019,148511.0
Klaipėdos m. sav.,2020,149433.0
Klaipėdos m. sav.,2021,148348.0
Vilniaus m. sav.,2015,543295.0
Vilniaus m. sav.,2016,544513.0
Vilniaus m. sav.,2017,546504.0
Vilniaus m. sav.,2018,549833.0
Vilniaus m. sav.,2019,556767.0
Vilniaus m. sav.,2020,566215.0
Vilniaus m. sav.,2021,569732.0
