city,x,transportas,vanduo,oras,šiukšles,total
Šiauliai,2015,8.35,14.52,34.03,0.0,56.9
Kaunas,2015,18.17,13.57,22.8,9.62,64.16
Panevėžys,2015,5.13,14.26,6.44,0.79,26.63
Alytus,2015,0.0,14.09,24.62,11.2,49.9
Klaipėda,2015,15.74,0.0,5.78,4.81,26.33
Vilnius,2015,13.48,13.83,40.81,15.22,83.33
Šiauliai,2016,7.04,21.74,36.18,8.89,73.85
Kaunas,2016,18.52,20.78,25.77,6.33,71.41
Panevėžys,2016,8.26,21.48,4.13,6.33,40.2
Alytus,2016,0.0,21.39,33.04,15.22,69.65
Klaipėda,2016,12.43,1.57,15.2,0.0,29.2
Vilnius,2016,13.04,13.91,41.3,15.22,83.48
Šiauliai,2017,5.74,21.74,34.53,7.61,69.62
Kaunas,2017,18.43,20.96,27.26,6.51,73.17
Panevėžys,2017,7.91,21.48,7.1,5.42,41.91
Alytus,2017,0.0,21.57,30.23,11.93,63.73
Klaipėda,2017,12.52,1.48,10.24,0.0,24.24
Vilnius,2017,13.57,14.0,41.3,15.22,84.09
Šiauliai,2018,4.35,21.74,35.85,9.37,71.31
Kaunas,2018,18.7,20.87,22.97,0.0,62.53
Panevėžys,2018,3.83,21.57,8.1,5.84,39.33
Alytus,2018,0.0,21.48,27.43,5.84,54.75
Klaipėda,2018,10.52,1.3,4.3,4.69,20.81
Vilnius,2018,12.87,13.91,41.3,15.22,83.3
Šiauliai,2019,8.96,21.74,33.7,0.0,64.4
Kaunas,2019,19.22,21.04,23.96,3.29,67.5
Panevėžys,2019,8.96,21.57,6.94,3.29,40.75
Alytus,2019,0.0,20.78,29.9,6.51,57.2
Klaipėda,2019,13.57,1.13,5.95,3.29,23.93
Vilnius,2019,16.52,14.09,40.31,15.22,86.14
Šiauliai,2020,8.35,21.74,30.23,0.0,60.32
Kaunas,2020,15.39,21.04,34.03,3.29,73.76
Panevėžys,2020,8.78,21.48,8.26,3.29,41.81
Alytus,2020,0.0,21.3,25.61,6.51,53.43
Klaipėda,2020,14.7,1.04,5.62,3.29,24.64
Vilnius,2020,16.61,14.09,41.3,15.22,87.22
