,city,x,kelioniu_kiekis,nuotekos,oro_tersalai_co,oro_tersalai_kietosios,oro_tersalai_no,siuksles_surinktos,vandens_sunaudojimas_buiciai,vandens_sunaudojimas_pozeminis,viesojo_rida
0,Šiauliai,2015,5.3,,4.7,7.5,8.3,0.0,8.3,8.3,4.3
1,Kaunas,2015,8.4,,2.5,5.8,5.5,15.8,7.8,7.8,12.5
2,Panevėžys,2015,3.3,,0.0,0.0,3.9,1.3,8.2,8.2,2.6
3,Alytus,2015,0.0,,4.9,2.5,7.6,18.4,8.1,8.1,0.0
4,Klaipėda,2015,10.6,,1.9,1.7,0.0,7.9,0.0,0.0,7.5
5,Vilnius,2015,12.5,,8.3,8.3,8.1,25.0,8.0,8.0,3.0
6,Šiauliai,2016,5.1,8.3,6.0,7.9,8.0,14.6,8.3,8.3,3.0
7,Kaunas,2016,8.8,8.3,2.8,6.9,5.9,10.4,7.8,7.8,12.5
8,Panevėžys,2016,5.0,8.3,0.0,0.0,2.5,10.4,8.2,8.2,4.5
9,Alytus,2016,0.0,8.3,6.4,5.6,8.0,25.0,8.1,8.1,0.0
10,Klaipėda,2016,8.1,1.8,3.7,5.6,0.0,0.0,0.0,0.0,6.2
11,Vilnius,2016,12.5,0.0,8.3,8.3,8.3,25.0,8.0,8.0,2.5
12,Šiauliai,2017,4.9,8.3,5.4,7.9,7.6,12.5,8.3,8.3,1.7
13,Kaunas,2017,8.7,8.3,3.3,6.6,6.7,10.7,7.9,7.9,12.5
14,Panevėžys,2017,4.4,8.3,0.0,0.0,4.3,8.9,8.2,8.2,4.7
15,Alytus,2017,0.0,8.3,5.8,4.8,7.6,19.6,8.2,8.2,0.0
16,Klaipėda,2017,8.5,1.7,1.3,4.8,0.0,0.0,0.0,0.0,5.9
17,Vilnius,2017,12.5,0.0,8.3,8.3,8.3,25.0,8.1,8.1,3.1
18,Šiauliai,2018,4.6,8.3,5.8,8.3,7.6,15.4,8.3,8.3,0.4
19,Kaunas,2018,9.0,8.3,2.0,7.1,4.9,0.0,7.8,7.8,12.5
20,Panevėžys,2018,3.4,8.3,0.0,0.0,4.9,9.6,8.2,8.2,1.0
21,Alytus,2018,0.0,8.3,6.1,3.2,7.4,9.6,8.2,8.2,0.0
22,Klaipėda,2018,8.8,1.5,0.7,1.9,0.0,7.7,0.0,0.0,3.2
23,Vilnius,2018,12.5,0.0,8.3,8.3,8.3,25.0,8.0,8.0,2.3
24,Šiauliai,2019,6.0,8.3,5.0,8.3,7.1,0.0,8.3,8.3,4.3
25,Kaunas,2019,9.6,8.3,3.1,7.1,4.4,5.4,8.0,8.0,12.5
26,Panevėžys,2019,5.2,8.3,0.0,0.0,4.2,5.4,8.2,8.2,5.1
27,Alytus,2019,0.0,7.6,6.2,4.5,7.4,10.7,8.2,8.2,0.0
28,Klaipėda,2019,9.3,1.3,2.4,1.3,0.0,5.4,0.0,0.0,6.3
29,Vilnius,2019,12.5,0.0,8.3,7.7,8.3,25.0,8.1,8.1,6.5
30,Šiauliai,2020,5.3,8.3,3.3,8.3,6.7,0.0,8.3,8.3,4.3
31,Kaunas,2020,5.2,8.3,4.9,7.8,7.9,5.4,8.0,8.0,12.5
32,Panevėžys,2020,5.3,8.3,0.0,0.0,5.0,5.4,8.2,8.2,4.8
33,Alytus,2020,0.0,8.3,3.8,5.0,6.7,10.7,8.1,8.1,0.0
34,Klaipėda,2020,9.7,1.2,1.2,2.2,0.0,5.4,0.0,0.0,7.2
35,Vilnius,2020,12.5,0.0,8.3,8.3,8.3,25.0,8.1,8.1,6.6
