,Administracinė teritorija,Transporto rūšis (Autobusai),Matavimo vienetai,Laikotarpis,Reikšmė
36,Šiaulių m. sav.,Autobusų parkų autobusai,vnt.,2015,135.943049867502
37,Šiaulių m. sav.,Autobusų parkų autobusai,vnt.,2016,134.738239125538
38,Šiaulių m. sav.,Autobusų parkų autobusai,vnt.,2017,133.657204590957
39,Šiaulių m. sav.,Autobusų parkų autobusai,vnt.,2018,127.032397580396
40,Šiaulių m. sav.,Autobusų parkų autobusai,vnt.,2019,126.901767471385
41,Šiaulių m. sav.,Autobusų parkų autobusai,vnt.,2020,79.76250651509
42,Šiaulių m. sav.,Autobusai,vnt.,2015,139.326620091544
43,Šiaulių m. sav.,Autobusai,vnt.,2016,135.891162326023
44,Šiaulių m. sav.,Autobusai,vnt.,2017,134.611770769322
45,Šiaulių m. sav.,Autobusai,vnt.,2018,128.773429792831
46,Šiaulių m. sav.,Autobusai,vnt.,2019,130.788915117732
47,Šiaulių m. sav.,Autobusai,vnt.,2020,80.998918249137
276,Kauno m. sav.,Autobusų parkų autobusai,vnt.,2015,147.726562640745
277,Kauno m. sav.,Autobusų parkų autobusai,vnt.,2016,149.61033605403
278,Kauno m. sav.,Autobusų parkų autobusai,vnt.,2017,148.684833348588
279,Kauno m. sav.,Autobusų parkų autobusai,vnt.,2018,147.6
280,Kauno m. sav.,Autobusų parkų autobusai,vnt.,2019,149.579599216356
281,Kauno m. sav.,Autobusų parkų autobusai,vnt.,2020,75.613519571866
282,Kauno m. sav.,Autobusai,vnt.,2015,195.79647597972
283,Kauno m. sav.,Autobusai,vnt.,2016,198.519688826121
284,Kauno m. sav.,Autobusai,vnt.,2017,198.524440069253
285,Kauno m. sav.,Autobusai,vnt.,2018,201.044689959278
286,Kauno m. sav.,Autobusai,vnt.,2019,205.486362547602
287,Kauno m. sav.,Autobusai,vnt.,2020,79.45999292852
528,Alytaus m. sav.,Autobusų parkų autobusai,vnt.,2015,
529,Alytaus m. sav.,Autobusų parkų autobusai,vnt.,2016,
530,Alytaus m. sav.,Autobusų parkų autobusai,vnt.,2017,
531,Alytaus m. sav.,Autobusų parkų autobusai,vnt.,2018,
532,Alytaus m. sav.,Autobusų parkų autobusai,vnt.,2019,
533,Alytaus m. sav.,Autobusų parkų autobusai,vnt.,2020,
534,Alytaus m. sav.,Autobusai,vnt.,2015,45.663813314432
535,Alytaus m. sav.,Autobusai,vnt.,2016,51.138551070656
536,Alytaus m. sav.,Autobusai,vnt.,2017,51.867990721393
537,Alytaus m. sav.,Autobusai,vnt.,2018,51.721330770136
538,Alytaus m. sav.,Autobusai,vnt.,2019,7.8137772904
539,Alytaus m. sav.,Autobusai,vnt.,2020,4.323342415985
672,Klaipėdos m. sav.,Autobusų parkų autobusai,vnt.,2015,69.407158195503
673,Klaipėdos m. sav.,Autobusų parkų autobusai,vnt.,2016,65.095932463546
674,Klaipėdos m. sav.,Autobusų parkų autobusai,vnt.,2017,70.769810950247
675,Klaipėdos m. sav.,Autobusų parkų autobusai,vnt.,2018,74.75520582839
676,Klaipėdos m. sav.,Autobusų parkų autobusai,vnt.,2019,74.0
677,Klaipėdos m. sav.,Autobusų parkų autobusai,vnt.,2020,86.426506395852
678,Klaipėdos m. sav.,Autobusai,vnt.,2015,233.585812386462
679,Klaipėdos m. sav.,Autobusai,vnt.,2016,187.18946720936
680,Klaipėdos m. sav.,Autobusai,vnt.,2017,195.468426276905
681,Klaipėdos m. sav.,Autobusai,vnt.,2018,198.466307277628
682,Klaipėdos m. sav.,Autobusai,vnt.,2019,199.400168321831
683,Klaipėdos m. sav.,Autobusai,vnt.,2020,145.001442169022
684,Vilniaus m. sav.,Autobusų parkų autobusai,vnt.,2015,263.650996206681
685,Vilniaus m. sav.,Autobusų parkų autobusai,vnt.,2016,256.955487466614
686,Vilniaus m. sav.,Autobusų parkų autobusai,vnt.,2017,258.933658136615
687,Vilniaus m. sav.,Autobusų parkų autobusai,vnt.,2018,257.259470020848
688,Vilniaus m. sav.,Autobusų parkų autobusai,vnt.,2019,260.9
689,Vilniaus m. sav.,Autobusų parkų autobusai,vnt.,2020,184.749797625234
690,Vilniaus m. sav.,Autobusai,vnt.,2015,267.838084189592
691,Vilniaus m. sav.,Autobusai,vnt.,2016,260.923976737095
692,Vilniaus m. sav.,Autobusai,vnt.,2017,262.665351347592
693,Vilniaus m. sav.,Autobusai,vnt.,2018,259.91395177953
694,Vilniaus m. sav.,Autobusai,vnt.,2019,264.3
695,Vilniaus m. sav.,Autobusai,vnt.,2020,186.262376675115
